Energy_keV,Counts,Counts_norm_max1
-0.9556821,0.0,0.0
-0.9456781,0.0,0.0
-0.9356741,0.0,0.0
-0.9256700999999999,0.0,0.0
-0.9156660999999999,0.0,0.0
-0.9056621,0.0,0.0
-0.8956581,0.0,0.0
-0.8856541,0.0,0.0
-0.8756501,0.0,0.0
-0.8656461,0.0,0.0
-0.8556421,0.0,0.0
-0.8456381,0.0,0.0
-0.8356340999999999,0.0,0.0
-0.8256300999999999,0.0,0.0
-0.8156261,0.0,0.0
-0.8056221,0.0,0.0
-0.7956181,0.0,0.0
-0.7856141,0.0,0.0
-0.7756101,0.0,0.0
-0.7656061,0.0,0.0
-0.7556020999999999,0.0,0.0
-0.7455980999999999,0.0,0.0
-0.7355940999999999,0.0,0.0
-0.7255901,0.0,0.0
-0.7155860999999999,0.0,0.0
-0.7055821,0.0,0.0
-0.6955781,0.0,0.0
-0.6855741,0.0,0.0
-0.6755701,0.0,0.0
-0.6655660999999999,0.0,0.0
-0.6555621,0.0,0.0
-0.6455580999999999,0.0,0.0
-0.6355541,0.0,0.0
-0.6255500999999999,0.0,0.0
-0.6155461,0.0,0.0
-0.6055421,0.0,0.0
-0.5955381,0.0,0.0
-0.5855341,0.0,0.0
-0.5755300999999999,0.0,0.0
-0.5655261,0.0,0.0
-0.5555220999999999,0.0,0.0
-0.5455181,0.0,0.0
-0.5355140999999999,0.0,0.0
-0.5255101,0.0,0.0
-0.5155061,0.0,0.0
-0.5055021,0.0,0.0
-0.49549809999999994,0.0,0.0
-0.48549409999999993,0.0,0.0
-0.4754900999999999,0.0,0.0
-0.46548609999999996,0.0,0.0
-0.4554820999999999,0.0,0.0
-0.4454781,0.0,0.0
-0.4354741,0.0,0.0
-0.42547009999999996,0.0,0.0
-0.41546609999999995,0.0,0.0
-0.40546209999999994,0.0,0.0
-0.3954580999999999,0.0,0.0
-0.3854540999999999,0.0,0.0
-0.3754500999999999,0.0,0.0
-0.3654460999999999,0.0,0.0
-0.3554421,0.0,0.0
-0.34543809999999997,0.0,0.0
-0.33543409999999996,0.0,0.0
-0.32543009999999994,0.0,0.0
-0.31542609999999993,0.0,0.0
-0.3054220999999999,0.0,0.0
-0.2954180999999999,0.0,0.0
-0.2854140999999999,0.0,0.0
-0.2754100999999999,0.0,0.0
-0.2654061,0.0,0.0
-0.25540209999999997,0.0,0.0
-0.24539809999999995,0.0,0.0
-0.23539409999999994,0.0,0.0
-0.22539009999999993,0.0,0.0
-0.2153860999999999,0.0,0.0
-0.2053820999999999,0.0,0.0
-0.1953780999999999,0.0,0.0
-0.18537409999999988,0.0,0.0
-0.17537009999999997,1.0,2.000040000800016e-05
-0.16536609999999996,1.0,2.000040000800016e-05
-0.15536209999999995,0.0,0.0
-0.14535809999999993,1.0,2.000040000800016e-05
-0.13535409999999992,0.0,0.0
-0.1253500999999999,0.0,0.0
-0.1153460999999999,1.0,2.000040000800016e-05
-0.10534209999999988,0.0,0.0
-0.09533809999999987,2.0,4.000080001600032e-05
-0.08533409999999997,7.0,0.00014000280005600112
-0.07533009999999996,24.0,0.00048000960019200384
-0.06532609999999994,145.0,0.002900058001160023
-0.05532209999999993,704.0,0.014080281605632112
-0.04531809999999992,2635.0,0.05270105402108042
-0.035314099999999904,7304.0,0.14608292165843317
-0.02531009999999989,15661.0,0.3132262645252905
-0.015306099999999878,26844.0,0.5368907378147563
-0.005302099999999865,34527.0,0.6905538110762215
0.004701900000000148,34212.0,0.6842536850737014
0.01470590000000005,26466.0,0.5293305866117323
0.024709900000000062,16110.0,0.32220644412888255
0.034713900000000075,7523.0,0.15046300926018522
0.0447179000000002,2712.0,0.054241084821696435
0.0547219000000001,822.0,0.016440328806576133
0.0647259,181.0,0.003620072401448029
0.07472990000000013,44.0,0.000880017600352007
0.08473390000000003,12.0,0.00024000480009600192
0.09473790000000015,7.0,0.00014000280005600112
0.10474190000000005,6.0,0.00012000240004800096
0.11474590000000018,3.0,6.000120002400048e-05
0.12474990000000008,0.0,0.0
0.1347539000000002,98.0,0.0019600392007840155
0.1447579000000001,116.0,0.0023200464009280187
0.1547619,138.0,0.002760055201104022
0.16476590000000013,195.0,0.003900078001560031
0.17476990000000003,261.0,0.005220104402088041
0.18477390000000016,369.0,0.007380147602952059
0.19477790000000006,531.0,0.010620212404248085
0.20478190000000018,909.0,0.018180363607272144
0.21478590000000009,2039.0,0.040780815616312326
0.2247899000000002,4522.0,0.09044180883617672
0.2347939000000001,9655.0,0.19310386207724153
0.2447979,18304.0,0.36608732174643493
0.25480190000000014,30093.0,0.6018720374407488
0.26480590000000004,42338.0,0.8467769355387108
0.27480990000000016,49999.0,1.0
0.28481390000000006,49611.0,0.992239844796896
0.2948179000000002,40877.0,0.8175563511270225
0.3048219000000001,28185.0,0.5637112742254845
0.3148259000000002,16414.0,0.32828656573131465
0.3248299000000001,8025.0,0.1605032100642013
0.3348339,3330.0,0.06660133202664054
0.34483790000000014,1408.0,0.028160563211264224
0.35484190000000004,849.0,0.016980339606792134
0.36484590000000017,910.0,0.018200364007280145
0.37484990000000007,1246.0,0.0249204984099682
0.3848539000000002,1567.0,0.03134062681253625
0.3948579000000001,1720.0,0.034400688013760276
0.4048619000000002,1545.0,0.030900618012360246
0.4148659000000001,1187.0,0.02374047480949619
0.4248699,858.0,0.01716034320686414
0.43487390000000015,603.0,0.012060241204824096
0.44487790000000005,447.0,0.008940178803576072
0.45488190000000017,432.0,0.008640172803456069
0.4648859000000001,599.0,0.011980239604792095
0.4748899000000002,990.0,0.01980039600792016
